qid,context,question,answer,tag
foody_3153,"Hình thức quán rất ok , kể cả món ăn .
Nhưng hương vị thì dở chưa từng thấy , sốt dở , ướp dở . Kêu làm welldone thì bưng ra miếng bò máu me ko . Bánh mì + khoai thì như đối xử vs ng tị nạn vậy , nguội ngắt . 1 phần bán cỹng ko p rẻ mà chất lượng chán qá . Thêm món nui xào nữa , ăn đc vài miếng ớn qá bỏ luôn .
",Hình thức của quán được đánh giá thế nào?,rất ok,foody
foody_3158,"Quán không gian thiết kế được nhưng thức uống bây giờ pha nhạt quá .
Vị không đậm đà .
Mình gọi green tea xay nhưng chỉ nghe thoang thoảng mùi trà còn vị không có . Chỉ toàn thấy đá thôi . Màu nước cũng nhạt ngay cả green tea nóng .
Đặc biệt tụi mình gọi loại dùng tại quán mỗi đứa 35k nhưng lại đưa loại ly mang về .
Không như bên Sư Vạn Hạnh hay Xô Viết Nghệ Tĩnh .
",Thức uống của quán hiện nay pha chế thế nào?,nhạt quá,foody
foody_2570,"Tiệm sát bên cây xăng Lê Văn Sỹ , nhỏ nhắn , xinh xắn . Không gian tươi sáng . Nhân viên nhiệt tình , thân thiện . Mình đến khoảng 8h thì hết bánh donut rồi , còn bánh nhỏ nhỏ thôi . Mình đợi khoảng 15 phút thì có bánh mới đến . Trong lúc chờ uống li matcha size S . Trà khá thơm , beo béo , ngọt vừa , rất ngon . Mua 1 nước bất kì sẽ được mua 1 donut với giá 10k . Donut mình chọn cái mặt cười và bông hoa mứt táo . Bánh mặt cười có nhân kem sữa mặn mặn ngọt ngọt , vỏ ngoài bánh thơm mùi chanh . Bánh bông hoa có mứt táo thơm và chua chua . Bánh nào ăn cũng ngon cả ^ ^
",Thiết kế của quán như thế nào?,"nhỏ nhắn , xinh xắn . Không gian tươi sáng",foody
foody_2916,"Không gian đẹp , có 2 tầng . Phục vụ chậm . Đồ uống thì cực dở , mình gọi cốc Matcha nhưng đợi mãi mới thấy đem đến , lúc uống thì họ pha quá đắng . Bánh mì thì cứng và không ngon . Giá cả thì đắt đỏ , so với matcha mình thường uống ở Passio thì về chất lượng và giá cả ở Cora thua xa so với Passio !
Sẽ không bao giờ quay lại quán !
",Khách hàng nhận xét gì về vị của matcha ở đây?,quá đắng,foody
foody_115,"Thực đơn nhìn có vẻ rẻ nhưng thật ra bò rất ít và mỏng . Mình ăn phần 35k được 5 món , bạn mình ăn 45k đc 7 món . Phần bò 45k đc nấu riêng nên trong lúc chờ bò chín , bạn mình ăn những món kia bảo không ngon lắm ( có thể do nước sốt cá hộp ) . Bánh mì là loại bánh mì dài bị cắt thành 3 phần . Nước ngọt tặng kèm là 1 ly hơi bị nhiều đá . Muỗng nĩa cái nào cũng có cảm giác nhớt nhớt . Cái kiểu dầu mỡ nhiều mà nước rửa chén thì ít á .
Tổng thể thì ăn cũng ok . Bị cái quảng cáo hơi quá . Tối quá nên cũng không chụp hình gì đc .
À còn vụ xe cộ . Lúc mới tới thì nhân viên rất hào hứng dắt xe cho mình . Lúc ăn xong tính tiền thì để khách tự dắt xe . Kì ghê !
",Nhận xét từ khách hàng về thực đơn của quán là gì?,có vẻ rẻ nhưng thật ra bò rất ít và mỏng,foody
foody_110,"Trưa hôm qua ghé đến đây ăn trưa , phải nói là quá thất vọng . Quán đông mà chỉ có hai nhân viên phục vụ , đồ ăn lâu không thể tả . Bàn ghế không có nhân viên dọn , người ăn trước còn đồ dư thừa mà khôg ai dọn , ruồi bay tùm lum dù là máy lạnh . Ăn súp nhưng lạt vô cùng , giống như nâu xong không nêm . Lần đầu tiên ăn ở đây và có lẽ cũng là lần cuối . Từ nay hết dám ăn Lotte
",Khách hàng cảm thấy như thế nào sau khi ăn ở quán?,quá thất vọng,foody
foody_2405,"Vào đây mình chỉ uống trà đào , còn những cái khác thì mình chưa thử qua ! Nhân viên là điểm trừ nặng nhất vì không thân thiện , còn giữ xe thì lần nào đi cũng phải trả tiền giữ xe do gửi ké quán khác chứ chưa bao giờ được PL cho gửi xe vì hết chỗ ! Đi được vài lần do bạn năn nỉ đi do nó thèm và lần nào cũng đông khỏi nói luôn , đứng order mệt xỉu và cũng không có chỗ ngồi luôn ! Nói chung là chỉ thấy mỗi cái menu và thức uống là ok thôi . Hezz
",Thái độ nhân viên ở quán như thế nào?,không thân thiện,foody
foody_597,"Uống TH từ khi quán mới khai trương , chắc cũng dc 2 3 năm gì rồi . Uống trà sữa ở đây là không muốn vào quán khác uống luôn . Giá có nhỉnh hơn thị trường . Nhưng tiền nào của đó thôi . Trà sữa lúa mạch với trà xanh táo là 2 món khoái nhất í . Mà giờ nge đồn hết lúa mạch rồi . Huhu ...
Không gian decor đẹp , có từng khu vực riêng như bệt , ghế ngồi , khu học bài . Thích hợp mọi thể loại lun .
",Quán có những khu vực nào?,"bệt , ghế ngồi , khu học bài",foody
foody_952,"Hôm qua chở nhỏ em đi lòng vòng kiếm đồ ăn chiều , thấy toàn quán cơm , phở ngán hok muốn vô . Đang tính ghé đại quán nào thì gặp ngay quán này , quốc lun ! ! !
Dzô kêu ngay BÒ ĐÙM , 
nghe lạ hoắc , nhìn hình thấy hay hay . 
Hên quá , quán làm món này khá ngon , vừa miệng mà đủ no nữa . 
Nhìn nó nhỏ mà hoá ra ko nhỏ tí nào > . < . 
Nhỏ em ăn bún thái , xin ké miếng mà ko cho , hình như có con mực bự lắm T  T . 
Tối nay ghé ăn thử : D
À mà 1 món chỉ có 34k thôi , 
quá ok để thay thế cho cơm tấm hay phở . Đỡ ngán = ) )
","Vì sao khách hàng không muốn vào các hàng quán thường gặp như cơm, phở?",ngán,foody
foody_1971,"Trời lạnh lạnh là chỉ chăm chăm đi kiếm quán nướng , vừa kịp lúc lướt web thấy ngay bài viết một trong các quán nướng ngon nhất hà thành thế là vô thử luôn . vào quán thấy có cả bít tết thế là lại quay sang ăn bít tết .
Bít tết của quán khá lịch sự   đồ ăn ngon , lạ miệng , phục vụ cơ bản tốt . không gian đẹp . nhưng ăn bít tết mình thấy sốt mù tạt thơm ngon hơn sốt tiêu .
",Quán này được bài viết trên mạng xếp vào danh sách gì? ,một trong các quán nướng ngon nhất hà thành,foody
foody_675,"Mình đi ăn quán này 2 lần , lần đầu mình đến đây đãi bạn bè ăn sinh nhật , mỗi đứa một đĩa , tụi nó đứa nào cũng no nê , đi 9 đứa mà mình tốn có 450k để đãi bạn ăn no thì qá là rẻ ^ ^ , đồ ăn khá ngon , quán tuy nhỏ nhưng sạch sẽ , gửi xe free có ng lấy xe giùm nữa .
Đi lần 2 mình đi vs mẹ và thằng em , nhân viên vẫn nhớ mặt mình , ko biết s chứ khá vui . Mẹ mình là ng khá khó tính trong mấy chuyện ăn uống nhưng mẹ ăn đồ ăn ở đây xong nói ngon ăn đc đáng đồng tiền , thằng em mình ăn ngon dành ăn phần của mình luôn .
Ở đây có trà chanh thái xanh rất ngon mà có 10k mà uống ko đã tại hơi ít , trà chanh đỏ thì ko ngon bằng .
Nói chung là combo 49k ăn rất đáng tiền và no căng đối vs mình ( y )
",Khách hàng đánh giá như thế nào về vấn đề gửi xe?,gửi xe free có ng lấy xe giùm,foody
foody_899,"Mình được mọi người giới thiệu nhiều nay mới có dịp thưởng thức
Kimbap chiên 25k / hộp theo mình thì khá đắt
Mình đã từng ăn 1 hộp kimbap 30k to hơn đây , đầy đủ hơn đây mà lúc họ ship kimbap vẫn còn ấm . 
Mình gọi mang về , lúc đi về cũng nguội rồi , 
vỏ ngoài thì cũng ỉu nhưng vẫn tốt là nhìn bên ngoài còn vàng , cơm ko bị sượng . 
Ăn hộp kimbap này đến giờ vẫn còn no ý . 
Nhìn chung thì mình thấy kimbap ở đây ko được : ) 
nếu có quay lại mình nghĩ mình sẽ gọi món nui xào hoặc món khác để thử , cạch kimbap
",Khách hàng cho biết từ đâu họ biết đến quán?,được mọi người giới thiệu,foody
foody_2289,"Bữa vào quán vì thấy view đẹp , nằm ngay ngã từ Bà Triệu giao Trần Quốc Toản , lại có chỗ ngồi trên sân thượng lộng gió ( quán 2 tầng ) nên vào luôn . Đồ uống toàn từ hoa quả tươi , khách gọi mới làm nên tuy chờ hơi lâu nhưungx rất chất lượng . Đồ uống detox ở đây khá ngon , vị dễ uống mà quên mất mình gọi vị gì rồi . Giá cả cũng chấp nhận được , từ 35K đến 45K . Quán ngay gần nhà nên còn quay lại nhiều . Mà các bạn nhân viên cực kỳ chu đáo , quan sát khách từng chút một , khách gọi là ra ngay hỏi han rất chu đáo .
",Quán có địa chỉ ở đâu?,ngay ngã từ Bà Triệu giao Trần Quốc Toản,foody
foody_1770,"Mình không hiểu sao quán bánh bèo này lại nổi tiếng đến thế . Chắc hồi quán vẫn ngon thì mình lại không đến ăn . Chỉ biết đến ăn 1 lần và không bao giờ muốn quay lại lần 2 . Bánh vừa chán , vị chua chua như để lâu . Nước mắm cũng không ngon , lại lủng củng cả chả viên chả cắt , ăn như bánh cuốn chứ chả phải bánh bèo nữa .
",Khách hàng thường thắc mắc điều gì sau khi ăn ở quán?, không hiểu sao quán bánh bèo này lại nổi tiếng đến thế,foody
foody_377,"Lúc trước có ghé quán ăn , vào đúng lúc trời mưa luôn . Trà sữa , cookies ... . Đồ uống thì rất ngon . Gà rán , đồ chiên rất ngán , bình thường thôi chứ không có gì là đặt biệt . Tương thì hơi lỏng , cũng chả cay gì hết . Khoai tây chiên thì không giòn , ăn với tương thì mùi kinh kinh thế nào ấy ... . .
",Khách hàng đánh giá gì về đồ uống của quán?,rất ngon,foody
foody_2059,"Mình thấy bên ngoài quán để lẩu 1ng là 68k nên vô ăn thử , ai dè là NƯỚC LẨU6 8K CHƯA TÍNH TIỀN ĐỒ ĂN TRONG LẨU . Còn mấy món ăn chung với lẩu thì 50k trở lên , còn lẩu mà có sẵn đồ ăn là 450 lẩu lớn . Để biển khuyến mãi như vậy theo mình nghĩ giống lừa khách vô .
Mấy món ăn ở đây mắc lắm , với cái giá tiền như vậy thì ăn ở chỗ khác có khi ngon & no hơn , vì đồ ăn ở Đa Lạt theo mình thấy là rẻ .
Không ăn lẩu nên chuyển qua ăn đồ nướng , đồ nướng nói chung cũng ok , giá cỡ 30-60k nhưng mà ko có gì đặc sắc để phải ghé thêm lần nữa .
",Khách nghĩ gì về cách quảng cáo của quán?, giống lừa khách vô,foody
foody_260,"Tiện chân nên tớ rẽ vào coco uống thử cho biết .
Tớ và bạn gọi vị sầu riêng và latte đài loan
Size M 35k kèm thạch vs topping là thành 45k mỗi cốc .
Trà sầu uống khá ổn , latte thì giống như lipton thêm sữa í .
Chân châu cứng , không dẻo tí nào , cảm giác như đang nhai bột í : ( rất là thất vọng
Pudding khá ổn .
Không gian be bé thôi nhưng nói chung cũng thoáng đãng .
Nói chung sẽ không quay lại vì hơi thất vọng đồ uốngz
",Cảm giác của khách hàng về các loại đồ uống là gì?,rất là thất vọng,foody
foody_2970,"Thật lòng thì mình thất vọng thức uống ở đây từ A  Z luôn , mình đến 3 lần , uống gần 5 ly cho mỗi kiểu thức uống mà 5 ly là thất vọng cả 5 , Macha Ice Blended còn tệ ác . Huxx , chỉ có mỗi không gian đẹp : ( . Chưa kể phục vụ , mình ngồi xuống 8 năm rồi mà chưa tới hỏi mình uống gì ko @ - @ , Chán ! ! !
",khách hàng thất vọng điều gì ở quán?,thức uống,foody
foody_2839,"Muốn đến lâu rồi vì nghe danh đã rất nhiều = ) ) quán ko khó tìm , đứng ở đầu ngõ là đã nhìn thấy biển quán rồi ạ . Phong cách trang trí rất nhẹ nhàng mà sang trọng . Có lẽ mình đến hôm nhiều khách , lại có cả vài anh chị tới chuẩn bị cho gian bán quần áo nên ko yên tĩnh như mình mong đợi
Phục vụ rất nhanh , gọi mà đã thấy bạn bê ra cho luôn rồi , cookies rất thơm
Không có lí do gì mà ko quay lại quán sau này , sẽ thử ngồi hết các chỗ rồi tìm ra góc yêu thích = ) )
",Không gian của quán được trang trí theo phong cách nào?,rất nhẹ nhàng mà sang trọng,foody
foody_277,"Quán hơi nhỏ nhưng cách trang trí rất đẹp và độc đáo , quán rất gần nhà mình nên mỗi lần đi ắn kem ở đây cũng khá tiện . Mình biết tới quán là vì món kem cuộn thái thần thánh , lạ lạ nên tới ăn thử . Giá cả thì khá rẻ , kem cũng ngon và lạ . Thích nhất là đứng xem cách người ta làm kem , thú vị thế nào ấy . Ngoài kem thì đồ uống ở đây cũng được giá cả lại rất phù hợp vs học sinh sinh viên . Phục vụ cũng tận tình và chu đáo nữa , không có gì để chê cả .
",Không gian của quán như thế nào?,hơi nhỏ nhưng cách trang trí rất đẹp và độc đáo,foody
foody_642,"Quán của 1 bác người Hàn Quốc , dịch vụ rất tốt , phải nói là siêu tốt luôn .
Mình đi 2 người chỉ gọi 2 suất cơm mà đồ ăn kèm có kimchi , giá đỗ , nước , canh khoai . Đã thế chờ mình ăn xong phục vụ còn bê ra 2 bát tàu phớ thơm phức nữa .
Tất nhiên là ko có chi phí đi kèm rồi : 3

",Khách hàng đánh giá cao điều gì ở quán?,dịch vụ rất tốt,foody
foody_1037,"Cảm thấy rất tốn tiền khi vô lý đến đây lần này .
Ở đây cứ 12h công an sẽ vào kiểm tra và bắt xuống nhạc , ít khách sẽ đóng cửa luôn .
Lần trước mìnhh vào cũng thế nhưng vào sớm nên ko để ý .
Quán thì đẹp , lịch sự , nhạc thì hay thật đấy , nhưng biét đến hơn 12h sẽ nghỉ thhif khách vào 12h kém có tâm tư vấn cho khách chút đi .
Trời ơi nghĩ sao ngồi chưa đến 30phut mời về , bay mất của con gần 4.000.000 vậy trời . Thiệt là mất hứng , ấm ức , và bực bội . 😡 😡 😡 😡
",Khách hàng cảm thấy thế nào khi đến quán?,rất tốn tiền khi vô lý đến đây,foody
foody_2754,"Nơi đây thích hợp cho việc hộp nhóm , đọc sách , nghe nhạc , thư giãn .
- Có nhiều sách để đọc : Truyện , tiểu thuyết , Sách marketing , kinh doanh , kinh nghiệm sống ... Thường mở những buổi giao lưu với các ca sĩ vào buổi tối .
- Không gian : đẹp , đơn giãn , nhạc nhẹ không lớn lắm rất relax . Bạn nào thích không gian yên tĩnh thì nên chọn quán này . Có thể chọn quán để học nhóm vì ở tầng dưới là nhà sách rất thuận tiện cho việc tham khảo tài liệu .
- thức uống : Cũng bình thường , nhưng mình thích kem ở đây .
- Giá cả : Trung bình
",Quán phù hợp nhất cho những khách hàng có mục đích gì?,"thích hợp cho việc hộp nhóm , đọc sách , nghe nhạc , thư giãn",foody
foody_1387,"Quán này lúc nào cũng đông khách nhưng không gian thoáng nên không ngột ngạt khó chịu gì mấy . Nghe bảo cô này người hà nội nên nấu ăn cũng khá ngon đúng chất Hà Nội . Thực đơn khá nhiều món và giá cả phù hợp cho học sinh sinh viên . Bún đậu thì ngon khỏi chê , nem chua rán cũng đúng kiểu , rất ngon mà không bị ngán . Mỳ ý cũng chả có gì phải chê , rất vừa miệng . Lúc gọi món thì mình nghĩ giá rẻ như này chắc đồ ăn không bao nhiêu đâu , nhưng không phải , đồ ăn khá nhiều , ăn đến no cả bụng . Đúng là tưởng không nhiều nhưng ai ngờ nhiều không tưởng ấy : )
",Điều gì khiến khách hàng cảm thấy không khó chịu mặc dù quán đông khách?,không gian thoáng,foody
foody_1942,"Ai thích ẩm thực Hàn mà ko biễt Hancook là quá tiếc . Quán mặt bằng nhỏ nên nếu ko để ý là bỏ qua ngay . Đồ ăn được làm đúng chuẩn Hàn . Cơm cuộn chiên ăn cực ngon , lớp vỏ giòn , vừa miệng . Tokk gà , hải sản giòn , dẻo dẻo , hợp khẩu vị . Đồ ăn ở đây làm chuẩn nhất trong tất cả các quán Hàn mình ăn trước đây . Ngon không chê vào đâu được ý 👌 👌 👌
",Quán này nổi tiếng về điều gì?,ẩm thực Hàn,foody
foody_1347,"Quán ko máy lạnh , ko sang trọng , ngồi ngoài trời , chỉ có ghế chứ ko có bàn , cây xanh mát mẻ quá chừng nên lúc nào cũng đông nghẹt hết cả .
Nhiều hôm 6h ghé qua là thấy ngồi kín cả rồi . Nằm đối diện xéo với cafe Mộc , ngay ngã 4 Hoa Lan - Hoa Phượng , Q . Phú Nhuận .
Ở đây mình chỉ uống sinh tố dâu tằm , ly chà bá , tím tím đẹp lắm , ngon nữa . Xay ít đá nên đậm đà vị dâu tằm . Tới sau 6h chỉ sợ ko còn dâu .
Hôm qua mới thử dâu tằm - sữa chua 33k , mắc hơn ly dâu tằm vài ngàn đồng hà .
Mới đầu thấy toàn mùi sữa chua , không thích xíu nào , mà uống 1 hồi mới rõ mùi dâu .
Đi chiều chiều nên chụp hình ko lên rõ màu tím , ko có tấm hình làm vốn 😭 😭 😭
",Khách hàng cho biết quán không có điều gì?," ko máy lạnh , ko sang trọng",foody
foody_7,"Tối T6 hàng tuần , tại YOLO quán có tổ chức diễn kịch do Nhóm kịch "" Hoa hướng dương "" biểu diễn ( trc đây nhóm thường diễn tại cafe Bệt - Ngô Thời Nhiệm ) . Giá vé 79k ( đã bao gồm 1 phần nước tự chọn ) ! Khong gian cực kỳ ấm cúng , nghệ thuật . Phải nói rằng khán phòng kịch ở đây , có thể là ok nhất trong các quạn kịch cafe mình đã xem từ đó đến nay ! ! !
",Tại quán có sự kiện gì đặc biệt khiến cho khách hàng cảm thấy thích thú?,tổ chức diễn kịch ,foody
foody_345,"Quán mới khai trương . Tầng 1 là shop quần áo , tầng 2 là 2 phòng cafe , 1 phòng là cafe mèo , phòng còn lại là phòng thường . Mình mới vào thử phòng cafe mèo . Có 5 em mèo rất mập , đáng yêu và dễ gần . Không gian đẹp , mặc dù chưa có đồ trang trí nhiều . Phục vụ nhiệt tình , thoải mái . Đồ uống và bánh tạm được . Giá ổn , đồ uống từ 15-25k . Chưa có menu giấy . Chị nhân viên có đến hỏi xin góp ý . Thực sự rất thích nơi này . Mong quán sẽ làm ăn phát triển thuận lợi .
",Quán có các loại phòng nào?,"1 phòng là cafe mèo , phòng còn lại là phòng thường",foody
foody_2669,"Quán khá đông khách nhưng công nhận làm món ăm rất nhanh . Mì hải sản chất lượng , hải sản tươi , thịt gà mềm , có phần nước sốt rưới lên thơm và lạ . Bò lúc lắc hơi dai nhưng thơm , nước sốt sền sệt chấm bánh mì thôi khỏi nói . Quán đúng bản chất xèo xèo khi đem ra món nào cũng nóng bốc khói , xèo xèo . Dĩa rau xà lách trộn giá ok , nhiều và trộn thấm gia vị chua chua ngọt ăn rất ngon .
",Thực khách ấn tượng đối với quán ở điều gì?,khá đông khách nhưng công nhận làm món ăm rất nhanh,foody
foody_1655,"Thấy toàn bình luận cao điểm nên mình và bạn trai cũng mò tít từ Phú Nhuận wa mục sở thị và ôm 2 cục tức đi về ! Cuối tuần đông khách mình đã chấp nhận chờ ( mặc dù thái độ nv cực kì khó chịu như mình đi xin ăn ) chờ 10p rồi 20p vẫn ko ai thèm dọn bàn cho mình và xe mình vẫn nằm ngoài lòng đường ! Vậy mà bàn đi 4ng đến sau lại được xếp chỗ trc ? ? ? ? Bạn trai và mình sau nửa tiếng chờ đợi từ ngoài đường vào đến quán rất chi là xô bồ và ngột ngạt đành bỏ về , cũng ko hề có 1 lời xin lỗi hay hỏi han j từ những nv "" thân thiện "" của quán ... . . quá thất vọng ! !
",Cảm xúc chung của khách là gì sau khi trải nghiệm tại quán?,quá thất vọng,foody
foody_721,"- Giá cả : Quá hợp lí , theo mình thấy giá chỉ bằng khoảng 1/2 Starbucks hay Phúc Long nhưng chất lượng nhỉnh hơn hẳn ! Biết là mỗi nơi có vị riêng , nhưng xét tổng thể những món giống nhau thì Caztus ngon hơn đó !
- Địa điểm : Nằm trong một hẻm nhỏ trên đường NTMK , nếu nhìn không kĩ sẽ hơi khó kiếm đó . Nhưng mà bù lại quán khá yên tĩnh dù có hơi đông khách .
- Không gian : Nhìn rất ấm cúng với nhiều bóng đèn được treo xen kẽ nhau . Bàn ghế cũng đc xen kẽ vàng - nâu đen nhìn hài hoà lắm . À mà , dù là quán có khá đông thì vẫn thấy khá thoải mái vì phần lớn mọi người đều rất ý tứ nói chuyện nhỏ xíu hoặc bấm điện thoại thôi . Thích nhất ở quán chỗ đó .
",Vì sao quán đông nhưng khách hàng vẫn cảm nhận được sự thoải mái?,ý tứ nói chuyện nhỏ xíu hoặc bấm điện thoại,foody
foody_624,"Vào dạo tránh nắng thấy donut nhìn dễ thương quá nên lấy luôn cả ba hộp ^ ^ "" điển hình của dễ bị dụ : ) nhưng mà thất vọng quá ah
Bánh mới sản xuất hôm nay hạn tới ba ngày mà ăn vô thấy khô lắm : ( không ngon . Bánh bun cafe có nhân cafe và "" mùi "" cafe . Bánh mì cua mini cũng không thoát khỏi số phận bị khô luôn ~ , ~ "" aiz
Được cái mua cũng quá trời mà tốn có 50k .
Làm không dám thử mấy món bánh khác luôn , mấy món khác như sushi , cơm nhìn cũng ổn nhưng không biết sao nữa ~ ~ "" không dám thử
",Vì sao khách hàng thất vọng về món bánh?,ăn vô thấy khô,foody
foody_729,"Sau một lần trở thành "" thượng đế "" của nhà hàng Kimchi Kimchi Nguyễn Thái Học , cụm từ "" đội ngũ nhân viên lịch sự chuyên nghiệp "" ( mà nhà hàng này luôn PR rầm rộ ) đã được mình định nghĩa theo một cách mới . Đó là phân biệt thực khách , "" dạy "" khách thành kẻ dối trá , thái độ cứng nhắc đến mức vô lí và tuyệt đối không được cười hoặc mở miệng chào hỏi khách đến . Sự chuyên nghiệp còn là : thức ăn được bọc trong những hộp nhựa rẻ tiền , rau sống đựng trong túi nilong nhàu nát , chiếc muỗng nhựa mềm oặt không đủ lực để xúc cơm cho một phần ăn 89k mua về .
",Khách hàng đánh giá gì về thái độ của nhân viên?,thái độ cứng nhắc đến mức vô lí và tuyệt đối không được cười hoặc mở miệng chào hỏi,foody
foody_18,"Hnay vc mình đi ăn ở đây , hồi chiều tiện đường nên rẽ vào đặt bàn lúc 5h vậy mà đã kín hết bàn , nhân viên hẹn 8h quay lại . Thì 8h kém mình đến . Có bàn ra nên vào ngồi luôn . Nhân viên nhiệt tình , tươi tỉnh , nhất là chú bếp trưởng cứ ra vào chỉ cho mình các món ăn nhẹ và cách ăn .
Mình mua thẻ của Hotpot với giá 178k cho suất 249k ( vậy là tiết kiệm được 71k/suất , hình như 15/2 là hết hạn ) ăn uống no nê 4người với rất nhiều thịt bò + nấm + râu mực ( 3 món nhà mình gọi nhiều nhất ) .
Về cơ bản đi ăn muộn nên đồ tráng miệng k còn nhiều , chỉ còn kem vs thạch nh cũng đc ( kem hơi giống kem KFC ) .
",Khách hàng đánh giá những gì về thái độ của nhân viên?,"nhiệt tình , tươi tỉnh",foody
foody_184,"Biết đến dukin qua ứng dụng quà tặng galaxy
Cửa hàng có rất nhiều loại bánh đẹp mắt cho khách có thể chọn lựa . còn ngon hay không thì chưa biết . vì chưa có dịp thử hết các loại bánh ở đây
Giá thì khá là đắt . nếu như không có khuyến mại của samsung chắc cũng chẳng bao giờ dám đi ăn . donut 20.000/chiếc.nếu mua nhiều thì sẽ được tặng thêm bánh
Nước thì rất đắt . tầm 60k.mà toàn đá
Thỉnh thoảng thèm vào ăn bánh thì được . chứ nước chắc không dám uống
",Khách hàng biết đến cửa hàng từ đâu?,qua ứng dụng quà tặng galaxy,foody
foody_2230,"Cuối tuần mình và đám bạn thường ghé Vuvuzela chơi . Cũng đi nhiều beer club rồi nhưng vẫn thích không gian ở đây . Rộng rãi , thoáng mát , đồ ăn ngon , nhạc hay . View lại đối diện biển nên đẹp và thoáng vô cùng . Món ăn ngon và giá phù hợp , chỉ thấy phần trái cây có giá hơi cao 230k / 1 phần . Bia có thể kêu tháp , kêu chai hoặc kêu theo set . Vào những ngày lễ hay cuối tuần ở đây thường tổ chức các trò chơi hoặc khuyến mãi hấp dẫn . Mình đến đây hay ăn nhất là món cánh gà hoặc xúc xích vì vừa dễ ăn , chế biến vị đậm đà ăn ngon miệng . Nếu vào ngay ngày sinh nhật còn được tặng bánh kem hình ly bia rất rất dễ thương nha .
",Không gian ở đây như thế nào?,"Rộng rãi , thoáng mát",foody
foody_2749,"Haizz , đã tới đây một lần và không bao giờ muốn quay lại lần thứ hai . Vì quán này mà mình có ấn tượng xấu với Molly cafe . Điểm tốt duy nhất của nó là không gian đẹp , bàn ghế đệm êm thoải mái . Nhưng cũng không đủ bù cái xấu . Phục vụ tệ , thấy khách cũng như không thấy . Và thức uống dở chưa từng thấy , phải nói là quá dở . Uống vào chỉ thấy phí tiền , chưa kể giá quá mắc . Mình gọi một ly cacao nóng hơn 30k , cuối cùng cũng uống không nổi mà bỏ lại hết . Pha chế kiểu gì mà giống như chỉ lấy một gói milo khuấy với nước nóng rồi bưng ra cho khách , uống chẳng thấy mùi vị gì . Một quán cafe có tiếng như vậy mà khiến người khác thật thất vọng .
",Quán có điểm cộng gì để thu hút khách?,"không gian đẹp , bàn ghế đệm êm thoải mái",foody
foody_1409,"Quán dễ tìm , không gian đẹp , sang trọng , nhân viên cực kì nhiệt tình , các bạn có thể bảo nhân viên cho ăn thử kem trước khi chọn vị vì có tận 31 mùi luôn ^ ^ kem có hơi ngọt , khi ăn nên gọi thêm một viên kem chua để đỡ ngấy . Đồ uống 1 cốc bé tí cũng tầm 50k , giá hơi chát nhưng chất lượng phục vụ hay kem thì tuyệt vời = ) ) ) đến hết 31-7 là hết đợt giảm giá 20k/viên nhỏ cho học sinh sinh viên rồi , sẽ cố gắng quay lại để được ăn kem xịn giá rẻ : ) ) )
",Khách hàng cho biết quán có vị trí thuận lợi thế nào?,dễ tìm,foody
foody_1757,"10 điẻm cho chất lượng . Mình từng ăn 2 lần nướng ở Gogi . 2 làn đều là buffe 350k/ng . Mặc dù đắt nhưng xắt ra miếng . Quán sang chảnh , ấm cúng , nv nhiệt tình . Thật là trong suốt cả 2 làna ăn các bạn í tự nướng , cắt và thay vỉ cho khách . Nói cgung ngoài ăn ra k phải làm gì . Thịt thích nhất vai và sườn bò sốt , ăn rất đậm đà và nạc thịt . 3 chỉ thì hơi nhiều mỡ . Vì nướng quá ngon nên đến phần lẩu gần như k ăn dc thêm : ) ) (
",Buffet tại đây có giá bao nhiêu?,350k/ng,foody
foody_331,"Phong cách quán này lạ mà thích cực luôn . Không phải sang chảnh như mấy chỗ khác đâu , vào đây thấy thoải mái lắm mỗi tội không gian nhỏ thích hợp cho 4 người trở xuống thui . Ở đây phong cách thoải mái như ở nhà luôn vậy , chị chủ tiệm còn dễ thương nữa . Đồ ăn ở đây cũng rất được , mình rất thích bánh mille crepe chôclate . Do dùng kem khá lạnh nên không bị ngấy đâu nhe . Món pất và trà cũng khá được . Giá cả hợp lí lắm nhe , mỗi tội ở chung cư nên hơi khó tìm thui 😂
",Khách hàng đánh giá gì về không gian của quán?,nhỏ,foody
foody_1997,"Lâu rồi quay lại quán rồi hôm nay quay lại thấy khách vẫn đông quá trời , rất nhiều trai ngoan gái đẹp zui quá trời ,
Các món của quán ngon hơn trước đây nhiều lắm , do món ngon quá mà giá lại quá hạt dẻ nên khách đông là phải rồi , rất thích các món ăn chơi nhậu nhậu ở đây ... . lần này đặc biệt thích món nầm bò , mực sữa , cá sùng xình ... .
Nhân viên phục vụ cực kỳ dễ thương , hai anh chị chủ quán rất nhiệt tình tuy khách đông nhưng cũng ráng xếp bàn cho nhóm mình ngồi ngay mặt tiền thiệt là mát .
Túm lại là thích quán lắm rồi
Chấm 8.8
",Lượng khách ở quán này như thế nào?,đông,foody
